UID,Name,Category,Source,Confidence
000000416F01EFF7,Aruni Default Head,operator-headgear,manual-verified,100
000000416F01EFFA,Aruni Default Body,operator-body,manual-verified,100
000000156B73406B,Caveira Default Head,operator-headgear,manual-verified,100
000000156B7351DD,Caveira Default Body,operator-body,manual-verified,100
000000156B7340D0,Ela Default Head,operator-headgear,manual-verified,100
000000156B7352B1,IQ Default Body,operator-body,manual-verified,90
000000156B7340BE,Twitch Default Head,operator-headgear,manual-verified,100
000000156B73525D,Twitch Default Body,operator-body,manual-verified,100
000000156B734171,Zofia Default Head,operator-headgear,manual-verified,90
000000156B73527E,Zofia Default Body,operator-body,manual-verified,90
000000156B73411A,Jager Default Head,operator-headgear,manual-verified,90
000000156B734175,Mute Default Head,operator-headgear,manual-verified,90
000000156B73418D,Sledge Default Head,operator-headgear,manual-verified,90
000000156B7341BC,Thatcher Default Head,operator-headgear,manual-verified,90
000000156B7341F2,Fuze Default Head,operator-headgear,manual-verified,90
000000156B7341FF,Glaz Default Head,operator-headgear,manual-verified,90
000000156B73421B,Kapkan Default Head,operator-headgear,manual-verified,90
000000162B4A522C,Smoke Default Head,operator-headgear,manual-verified,90
000000188C25BE97,Echo Default Head,operator-headgear,manual-verified,90
0000002E3A3770D8,Warden Default Head,operator-headgear,manual-verified,90
00000036D0D0E74E,Amaru Default Head,operator-headgear,manual-verified,90
0000004EC9F5E0C0,Vigil Default Head,operator-headgear,manual-verified,90
00000052AF234B4E,Zero Default Body,operator-body,manual-verified,90
000000156B734088,Rook Skull Headgear Variant,operator-headgear,manual-rejected-default,100
000000156B7340E6,Blitz Default Head,operator-headgear,manual-verified,90
000000156B734225,Tachanka Default Head,operator-headgear,manual-verified,80
000000233E8D069D,Alibi Default Head Mask Up,operator-headgear,manual-verified,90
00000030F8318C49,Nomad Default Head,operator-headgear,manual-verified,90
0000003F3D73CBD5,Capitao Cosmetic Headgear Variant,operator-headgear,manual-rejected-default,100
00000041C0A58AB6,Kaid Default Head,operator-headgear,manual-verified,90
000000156B735272,Ela Default Body,operator-body,manual-verified,90
000000156B735344,Sledge Default Body,operator-body,manual-verified,90
